Date,Discharge_m3s
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,32.325
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,26.485
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,22.3
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,41.36
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,40.95
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,99.84
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,97.95199733
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,117.194777
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,71.2
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,84.86
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,49.275
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
,33.2
