Branch,Segment_Index,Distance_km,Area_km2,Runoff_C,Is_Polder_Zone,Q_lat_base_m3_s,NH4_conc_base_mg_L,NO3_conc_base_mg_L,PO4_conc_base_mg_L,TOC_conc_base_mg_L,DIC_conc_base_mg_L,SPM_conc_base_mg_L
Tien_Lower,0,1,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,1,2,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,1,3,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,2,4,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,2,5,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,3,6,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,3,7,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,4,8,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,4,9,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,5,10,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,5,11,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,6,12,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,6,13,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,7,14,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,7,15,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,8,16,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,8,17,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,9,18,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,9,19,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,10,20,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,10,21,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,11,22,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,11,23,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,12,24,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,12,25,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,13,26,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,13,27,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,14,28,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,14,29,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,15,30,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,15,31,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,16,32,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,16,33,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,17,34,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,17,35,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,18,36,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,18,37,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,19,38,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,19,39,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,20,40,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,20,41,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,21,42,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,21,43,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,22,44,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,22,45,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,23,46,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,23,47,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,24,48,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Lower,24,49,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
