# ============================================================================
# C-GEM Seasonal Calibration Targets: Mekong Delta
# ============================================================================
# 4-STAGE CALIBRATION TARGETS from March 2025 Field Campaign
#
# Format: Branch, Variable, Location_km, Time_Day, Value, Weight
#
# IMPORTANT: Time_Day is days AFTER WARMUP (post-warmup simulation day)
#   - Time_Day = 15 means compare at day 15 of the "real" simulation
#   - This is independent of warmup period setting in case_config.txt
#   - March 2025 data corresponds to dry season (~Day 15 after warmup)
#
# Weight guidelines:
#   3.0 = High priority (mouth/key locations)
#   2.0 = Medium priority
#   1.0 = Low priority (fill-in points)
# ============================================================================

Branch,Variable,Location_km,Time_Day,Value,Weight
Ham_Luong,N2O,59.0,15.0,23.9,2.0

# CO CHIEN
Co_Chien,N2O,0.0,15.0,8.3,2.0
Co_Chien,N2O,29.2,15.0,11.1,2.0
Co_Chien,N2O,48.2,15.0,18.6,2.0
Co_Chien,N2O,71.0,15.0,18.2,2.5

# MY THO
My_Tho,N2O,0.9,15.0,6.4,2.0
My_Tho,N2O,35.8,15.0,10.7,2.0
My_Tho,N2O,51.1,15.0,20.0,2.0
My_Tho,N2O,55.0,15.0,21.4,2.5


